Lat;Long;Ponto;UTM E;UTM N;Descricao;Matriz Ori
-50.14148147;-5.972574749;NWC21;595020;9339753;Ponto localizado após o vertedouro da barragem;Água Superficial
-50.14548045;-5.957194852;RD04;594580;9341454;Igarapé Gelado, a jusante de área de pastagem;Água Superficial
-50.14742796;-5.9479897;RD05;594366;9342472;Igarapé Mombaca, próximo à confluência com o;Água Superficial
-50.13788458;-5.944374841;RD06;595423;9342870;Igarapé Gelado, a jusante da confluência com o;Água Superficial
-50.09433923;-5.95646196;RD07;600241;9341526;Igarapé Gelado, a jusante da Estação;Água Superficial
-50.09452359;-5.976244158;NE09;600217;9339339;Ponto após o vertedouro da barragem do;Água Superficial
-50.09260743;-5.960294285;RD08;600432;9341102;Igarapé Geladinho, próximo à confluência com o;Água Superficial
-50.0922837;-5.959380185;NWC23;600468;9341203;Igarapé Gelado, a montante do igarapé Geladinho;Água Superficial
-50.08370444;-5.957475543;NWC22;601418;9341412;Igarapé Gelado, a jusante da ponte de via local da;Água Superficial
-50.03262699;-5.992989638;RD09;607065;9337476;Afluente do igarapé Gelado, próximo ao ponto de;Água Superficial
-50.01125057;-5.988401857;RD10;609432;9337979;Igarapé Gelado, a jusante do afluente sem nome;Água Superficial
-49.96680946;-6.003433929;T-344-J;614348;9336308;Igarapé Gelado a jusante da EFC;Água Superficial
-49.91265211;-6.019528062;RD11;620339;9334517;Igarapé Gelado, próximo à confluência com o rio;Água Superficial
